lobbying_issue,topic,policy_context_status,lobbying_rows,unique_clients,unique_filings,total_amount,matched_govinfo_bill_count,matched_govinfo_floor_considered_count,matched_govinfo_committee_reported_count,matched_govinfo_enacted_count,matched_sponsor_bioguide_count,matched_committee_code_count,matched_bill_ids,matched_enacted_bill_ids,matched_sponsor_bioguide_ids,matched_committee_codes,evidence_layers,missing_links,match_basis,source_url,claim_boundary
Manufacturing,Commerce,lobbying_issue_bill_policy_context,5,4,5,0.00,5,0,1,0,5,4,118-hr-147; 118-hr-896; 118-hr-903; 118-s-38; 118-s-46,,B001275; C001118; D000615; D000622; R000595,hsif00; hsju00; hssm00; sssb00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Marine/Maritime/Boating/Fisheries,Transportation and Public Works,lobbying_issue_bill_policy_context,1,1,1,0.00,1,0,1,0,1,1,118-hr-915,,G000579,hspw00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Media (information/publishing),"Science, Technology, Communications",lobbying_issue_bill_policy_context,2,2,2,0.00,4,0,0,0,4,5,118-hr-145; 118-hr-401; 118-hr-922; 118-hr-942,,A000372; D000615; H001096; O000019,hsag00; hsfa00; hsgo00; hsif00; hssy00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Medicare/Medicaid,Health,lobbying_issue_bill_policy_context,3,3,3,0.00,18,0,1,0,13,11,118-hr-31; 118-hr-33; 118-hr-35; 118-hr-133; 118-hr-134; 118-hr-403; 118-hr-410; 118-hr-420; 118-hr-885; 118-hr-902; 118-hr-949; 118-hr-952; 118-hr-955; 118-hres-118; 118-s-13; 118-s-15; 118-s-36; 118-sres-12,,B001260; B001288; B001302; C001067; D000399; D000626; E000295; G000585; R000595; S001172; S001177; S001216; V000134,hsas00; hsgo00; hsha00; hsif00; hsju00; hssy00; hsvr00; hswm00; ssfi00; sshr00; ssju00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Natural Resources,Public Lands and Natural Resources,lobbying_issue_bill_policy_context,4,4,4,0.00,3,0,1,0,2,3,118-hr-188; 118-hr-189; 118-s-21,,F000062; M001177,hsag00; hsii00; ssaf00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Pharmacy,Health,lobbying_issue_bill_policy_context,1,1,1,0.00,18,0,1,0,13,11,118-hr-31; 118-hr-33; 118-hr-35; 118-hr-133; 118-hr-134; 118-hr-403; 118-hr-410; 118-hr-420; 118-hr-885; 118-hr-902; 118-hr-949; 118-hr-952; 118-hr-955; 118-hres-118; 118-s-13; 118-s-15; 118-s-36; 118-sres-12,,B001260; B001288; B001302; C001067; D000399; D000626; E000295; G000585; R000595; S001172; S001177; S001216; V000134,hsas00; hsgo00; hsha00; hsif00; hsju00; hssy00; hsvr00; hswm00; ssfi00; sshr00; ssju00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Railroads,Transportation and Public Works,lobbying_issue_bill_policy_context,1,1,1,0.00,1,0,1,0,1,1,118-hr-915,,G000579,hspw00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Roads/Highway,Transportation and Public Works,lobbying_issue_bill_policy_context,2,2,2,0.00,1,0,1,0,1,1,118-hr-915,,G000579,hspw00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Science/Technology,"Science, Technology, Communications",lobbying_issue_bill_policy_context,6,6,6,0.00,4,0,0,0,4,5,118-hr-145; 118-hr-401; 118-hr-922; 118-hr-942,,A000372; D000615; H001096; O000019,hsag00; hsfa00; hsgo00; hsif00; hssy00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Small Business,Commerce,lobbying_issue_bill_policy_context,1,1,1,0.00,5,0,1,0,5,4,118-hr-147; 118-hr-896; 118-hr-903; 118-s-38; 118-s-46,,B001275; C001118; D000615; D000622; R000595,hsif00; hsju00; hssm00; sssb00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Taxation/Internal Revenue Code,Taxation,lobbying_issue_bill_policy_context,9,9,9,0.00,17,0,1,0,13,5,118-hr-25; 118-hr-32; 118-hr-34; 118-hr-151; 118-hr-152; 118-hr-190; 118-hr-418; 118-hr-426; 118-hr-884; 118-hr-888; 118-hr-889; 118-hr-908; 118-s-8; 118-s-17; 118-s-26; 118-s-28; 118-s-56,,C000141; C001098; C001103; D000399; D000615; E000215; G000585; H000601; K000376; L000600; M001205; S001181; T000464,hsha00; hsju00; hsru00; hswm00; ssfi00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Telecommunications,"Science, Technology, Communications",lobbying_issue_bill_policy_context,3,3,3,30000.00,4,0,0,0,4,5,118-hr-145; 118-hr-401; 118-hr-922; 118-hr-942,,A000372; D000615; H001096; O000019,hsag00; hsfa00; hsgo00; hsif00; hssy00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Tobacco,Commerce,lobbying_issue_bill_policy_context,1,1,1,0.00,5,0,1,0,5,4,118-hr-147; 118-hr-896; 118-hr-903; 118-s-38; 118-s-46,,B001275; C001118; D000615; D000622; R000595,hsif00; hsju00; hssm00; sssb00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Trade (domestic/foreign),Commerce,lobbying_issue_bill_policy_context,4,4,4,0.00,5,0,1,0,5,4,118-hr-147; 118-hr-896; 118-hr-903; 118-s-38; 118-s-46,,B001275; C001118; D000615; D000622; R000595,hsif00; hsju00; hssm00; sssb00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Transportation,Transportation and Public Works,lobbying_issue_bill_policy_context,4,4,4,0.00,1,0,1,0,1,1,118-hr-915,,G000579,hspw00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Travel/Tourism,Commerce,lobbying_issue_bill_policy_context,1,1,1,0.00,5,0,1,0,5,4,118-hr-147; 118-hr-896; 118-hr-903; 118-s-38; 118-s-46,,B001275; C001118; D000615; D000622; R000595,hsif00; hsju00; hssm00; sssb00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Uncoded,,unmapped_lobbying_issue,2,2,2,0.00,0,0,0,0,0,0,,,,,senate_lda_issue_label,policy_area_topic; cached_bill_policy_area_context; client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; causal_capture_validation; model_validation,no_policy_area_crosswalk,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Utilities,Energy,lobbying_issue_bill_policy_context,1,1,1,0.00,14,0,0,0,11,7,118-hr-150; 118-hr-209; 118-hr-891; 118-hr-893; 118-hr-913; 118-hr-923; 118-hr-970; 118-s-9; 118-s-11; 118-s-19; 118-s-20; 118-s-22; 118-s-23; 118-s-31,,B001223; B001261; B001300; C001098; D000615; F000062; F000468; H001096; M001190; S001212; W000823,hsag00; hsas00; hsed00; hsif00; hsii00; hssy00; sseg00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Veterans,Armed Forces and National Security,lobbying_issue_bill_policy_context,1,1,1,0.00,9,1,2,1,7,5,118-hr-41; 118-hr-129; 118-hr-143; 118-hr-939; 118-s-10; 118-s-27; 118-s-29; 118-s-30; 118-s-42,118-s-30,B001260; B001307; C001098; D000615; H001061; M001213; T000464,hsas00; hsgo00; hsvr00; ssas00; ssva00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
Welfare,Social Welfare,lobbying_issue_bill_policy_context,1,1,1,0.00,2,0,0,0,2,3,118-hr-883; 118-s-35,,D000399; R000595,hsif00; hswm00; ssfi00,senate_lda_issue_label; congress_policy_area_topic; govinfo_billstatus_policy_area_metadata; govinfo_bill_action_metadata,client_to_specific_bill; filing_text_bill_identifier; sponsor_or_member_target; committee_action_influence; roll_call_influence; legislative_outcome_causality; public_benefit_or_welfare_validation; causal_capture_validation; model_validation,lda_issue_label_to_policy_area_to_govinfo_bill_policy_area,https://lda.senate.gov/api/v1/filings/,"Bounded public LDA issue-label context joined to cached govinfo bill/action metadata by shared Congress.gov policy area only; not evidence that a lobbying client, registrant, or filing targeted, supported, opposed, funded, caused, influenced, or benefited any specific bill, sponsor, committee action, roll call, public law, implementation outcome, public benefit, causal capture, or model validation."
