caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,vetoes,overriddenVetoes
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-sunset-trial,Default pass + sunset trial,9000,60.000,4199,27.993,60.000,0.467,1.000,0.557,0.610,0.260,0.151,0.533,0.000,0.000,0.000,0.353,0.103,0.266,0.462,0.172,0.825,0.987,0.291,0.000,0.000,0.000,0.175,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,default-pass-earned-credits,Default pass + earned proposal credits,9000,60.000,6488,43.253,51.313,0.721,0.855,0.533,0.499,0.384,0.105,0.279,0.145,0.000,0.000,0.446,0.128,0.565,0.653,0.245,0.805,0.902,0.550,0.000,0.000,0.000,0.195,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,bicameral-majority,Bicameral simple majority,9000,60.000,1590,10.600,60.000,0.177,1.000,0.625,0.663,0.110,0.274,0.823,0.000,0.000,0.000,0.000,0.583,0.056,0.252,0.204,0.830,0.515,0.372,0.000,0.000,0.000,0.170,0,0
multi-party,Multi-Party System,Generated legislators sort into five parties.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,994,6.627,60.000,0.110,1.000,0.640,0.688,0.071,0.311,0.890,0.000,0.000,0.000,0.000,0.717,0.032,0.223,0.202,0.830,0.369,0.362,0.000,0.000,0.000,0.170,525,3
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,simple-majority,Unicameral simple majority,27000,180.000,7301,48.673,180.000,0.270,1.000,0.598,0.640,0.162,0.235,0.730,0.000,0.000,0.000,0.000,0.437,0.105,0.310,0.215,0.825,0.703,0.407,0.000,0.000,0.000,0.175,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,simple-majority-lobby-firewall,Unicameral majority + lobby firewall,27000,180.000,7691,51.273,180.000,0.285,1.000,0.609,0.647,0.174,0.232,0.715,0.000,0.000,0.000,0.000,0.391,0.116,0.329,0.196,0.836,0.772,0.358,0.000,0.000,0.000,0.164,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,supermajority-60,Unicameral 60 percent passage,27000,180.000,2479,16.527,180.000,0.092,1.000,0.667,0.727,0.061,0.362,0.908,0.000,0.000,0.000,0.000,0.749,0.019,0.145,0.201,0.822,0.308,0.341,0.000,0.000,0.000,0.178,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass,Default pass unless 2/3 block,27000,180.000,22697,151.313,180.000,0.841,1.000,0.532,0.496,0.447,0.107,0.159,0.000,0.000,0.000,0.448,0.023,0.678,0.671,0.255,0.801,0.994,0.586,0.000,0.000,0.000,0.199,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-budgeted-lobbying,Default pass + budgeted lobbying,27000,180.000,22677,151.180,180.000,0.840,1.000,0.532,0.496,0.447,0.106,0.160,0.000,0.000,0.000,0.447,0.023,0.678,0.672,0.257,0.801,0.992,0.590,0.069,0.648,3.109,0.199,0,0
high-proposal-pressure,High Proposal Pressure,Three times as many potential proposals reach the institutional system.,default-pass-budgeted-lobbying-transparency,Default pass + budgeted lobbying + transparency,27000,180.000,22597,150.647,180.000,0.837,1.000,0.531,0.497,0.444,0.107,0.163,0.000,0.000,0.000,0.453,0.022,0.678,0.675,0.197,0.796,0.996,0.572,0.069,0.648,2.378,0.204,0,0
