caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,vetoes,overriddenVetoes
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-lobby-firewall,Default pass + lobby firewall,45000,300.000,36895,245.967,300.000,0.820,1.000,0.536,0.501,0.439,0.108,0.180,0.000,0.000,0.000,0.448,0.020,0.660,0.669,0.252,0.811,0.997,0.570,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-lobby-transparency,Default pass + lobby transparency,45000,300.000,37663,251.087,300.000,0.837,1.000,0.532,0.495,0.445,0.107,0.163,0.000,0.000,0.000,0.453,0.023,0.670,0.666,0.199,0.796,0.997,0.577,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-public-interest-screen,Default pass + public-interest screen,45000,300.000,34433,229.553,272.187,0.765,0.907,0.534,0.511,0.409,0.109,0.235,0.093,0.000,0.000,0.443,0.052,0.605,0.657,0.217,0.803,0.946,0.433,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-lobby-audit,Default pass + anti-capture audit,45000,300.000,34352,229.013,299.540,0.763,0.998,0.532,0.505,0.406,0.109,0.237,0.002,0.000,0.000,0.449,0.086,0.605,0.659,0.216,0.802,0.997,0.456,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,45000,300.000,34140,227.600,287.787,0.759,0.959,0.536,0.514,0.407,0.111,0.241,0.041,0.000,0.000,0.445,0.033,0.603,0.662,0.177,0.811,0.962,0.436,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-informed-guarded,Default pass + informed guarded committee,45000,300.000,9897,65.980,66.347,0.220,0.221,0.587,0.656,0.129,0.240,0.780,0.545,0.234,0.000,0.197,0.518,0.072,0.250,0.206,0.862,0.626,0.371,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-challenge,Default pass + challenge vouchers,45000,300.000,41238,274.920,300.000,0.916,1.000,0.508,0.472,0.466,0.097,0.084,0.000,0.000,0.100,0.470,0.050,0.698,0.621,0.261,0.804,0.970,0.623,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,45000,300.000,11545,76.967,77.453,0.257,0.258,0.581,0.675,0.149,0.252,0.743,0.742,0.000,0.000,0.209,0.459,0.082,0.250,0.164,0.828,0.871,0.275,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-adaptive-track,Default pass + adaptive tracks,45000,300.000,19869,132.460,279.347,0.442,0.931,0.563,0.601,0.249,0.172,0.558,0.068,0.000,0.000,0.246,0.182,0.219,0.398,0.198,0.813,0.924,0.372,0,0
extreme-proposal-pressure,Extreme Proposal Pressure,Five times as many potential proposals reach the institutional system.,default-pass-sunset-trial,Default pass + sunset trial,45000,300.000,21254,141.693,300.000,0.472,1.000,0.556,0.613,0.262,0.150,0.528,0.000,0.000,0.000,0.357,0.097,0.272,0.466,0.175,0.824,0.977,0.295,0,0
